Icons_Agni_A01,agni-q
Icons_Chaac_A02,chaac-w
Icons_Chaac_A03,chaac-e
Icons_Chaac_A04,chaac-r
Icons_Chaac_Passive,chaac-p
Icons_Chamunda_Passive,chamunda-p
Icons_ChangE_A01,change-q
Icons_ChangE_A02,change-w
Icons_ChangE_A03,change-e
Icons_ChangE_A04,change-r
Icons_ChangE_Passive,change-p
Icons_Chronos_A01,chronos-q
Icons_Chronos_A02,chronos-w
Icons_Chronos_A03,chronos-e
Icons_Chronos_A04,chronos-r
Icons_Chronos_Passive,chronos-p
Icons_Cupid_A01,cupid-q
Icons_Cupid_A02,cupid-w
Icons_Cupid_A03,cupid-e
Icons_Cupid_A04,cupid-r
Icons_Cupid_Passive,cupid-p
Icons_Dionysus_Passive,dionysus-p
Icons_Fenrir_A01,fenrir-q
Icons_Fenrir_A02,fenrir-w
Icons_Fenrir_A03,fenrir-e
Icons_Fenrir_A04,fenrir-r
Icons_Fenrir_Passive,fenrir-p
Icons_Freya_A01,freya-q
Icons_Freya_A02,freya-w
Icons_Freya_A03,freya-e
Icons_Freya_A04,freya-r
Icons_Freya_Passive,freya-p
Icons_Garuda_Passive,garuda-p
Icons_Geb_A01,geb-q
Icons_Geb_A02,geb-w
Icons_Geb_A03,geb-e
Icons_Geb_A04,geb-r
Icons_Geb_Passive,geb-p
Icons_GuanYu_A01,guanyu-q
Icons_GuanYu_A02,guanyu-w
Icons_GuanYu_A03,guanyu-e
Icons_GuanYu_A04,guanyu-r
Icons_GuanYu_Passive,guanyu-p
Icons_Hades_DeathFromBelow,hades-q
Icons_Hades_DevourSouls,hades-e
Icons_Hades_Passive,hades-p
Icons_Hades_PillarofAgony,hades-r
Icons_Hades_ShroudofDarkness,hades-w
Icons_HeBo_A01,hebo-q
Icons_HeBo_A02,hebo-w
Icons_HeBo_A03,hebo-e
Icons_HeBo_A04,hebo-r
Icons_HeBo_FloodWaters,hebo-w-old
Icons_HeBo_Passive,hebo-p
Icons_HeBo_TidalWave,hebo-r-old
Icons_HeBo_Typhoon,hebo-e-old
Icons_HeBo_WaterCannon,hebo-q-old
Icons_Hel_DarkSouls,hel-w-1
Icons_Hel_Decay,hel-q-1
Icons_Hel_Inspire,hel-e-2
Icons_Hel_Passive,hel-p-1
Icons_Hel_Passive_S2,hel-p-2
Icons_Hel_Repulse,hel-e-1
Icons_Hel_Resoration,hel-q-2
Icons_Hel_SpellShield,hel-w-2
Icons_Hel_SwitchStances,hel-r-1
Icons_Hel_SwitchStances_S2,hel-r-2
Icons_Hercules_A01,hercules-q
Icons_Hercules_A02,hercules-w
Icons_Hercules_A03,hercules-e
Icons_Hercules_A04,hercules-r
Icons_Hercules_Passive,hercules-p
Icons_HunBatz_A01,hunbatz-q
Icons_HunBatz_A02,hunbatz-w
Icons_HunBatz_A03,hunbatz-e
Icons_HunBatz_A04,hunbatz-r
Icons_HunBatz_Passive,hunbatz-p
Icons_Isis_A01,isis-q
Icons_Isis_A02,isis-w
Icons_Isis_A03,isis-e
Icons_Isis_A04,isis-r
Icons_Isis_Passive,isis-p
Icons_Janus_A01,janus-q
Icons_Janus_A02,janus-w
Icons_Janus_A03,janus-e
Icons_Janus_A04,janus-r
Icons_Janus_Passive,janus-p
Icons_Kali_A01,kali-q
Icons_Kali_A02,kali-w
Icons_Kali_A03,kali-e
Icons_Kali_A04,kali-r
Icons_Kali_BloodLash,kali-q-old
Icons_Kali_Frenzy,kali-r-old
Icons_Kali_Passive,kali-p
Icons_Kali_Rage,kali-w-old
Icons_Kali_SiphonBlood,kali-e-old
Icons_Kumbhakarna_A01,kumbhakarna-q
Icons_Kumbhakarna_A02,kumbhakarna-w
Icons_Kumbhakarna_A03,kumbhakarna-e
Icons_Kumbhakarna_A04,kumbhakarna-r
Icons_Kumbhakarna_Passive,kumbhakarna-p
Icons_Loki_A01,loki-q
Icons_Loki_A02,loki-w
Icons_Loki_A03,loki-e
Icons_Loki_A04,loki-r
Icons_Loki_Passive,loki-p
Icons_Medusa_Passive,medusa-p
Icons_Mercury_A01,mercury-q
Icons_Mercury_A02,mercury-w
Icons_Mercury_A03,mercury-e
Icons_Mercury_A04,mercury-r
Icons_Mercury_Passive,mercury-p
Icons_Monkey_Passive,monkey-p
Icons_Neith_A01,neith-q
Icons_Neith_A02,neith-w
Icons_Neith_A03,neith-e
Icons_Neith_A04,neith-r
Icons_Neith_Passive,neith-p
Icons_Nemesis_A01,nemesis-q
Icons_Nemesis_A02,nemesis-w
Icons_Nemesis_A03,nemesis-e
Icons_Nemesis_A04,nemesis-r
Icons_Nemesis_Passive,nemesis-p
Icons_NeZha_A01,nezha-q
Icons_NeZha_A02,nezha-w
Icons_NeZha_A03,nezha-e
Icons_NeZha_A04,nezha-r
Icons_NeZha_Passive,nezha-p
Icons_NuWa_A01,nuwa-q
Icons_NuWa_A02,nuwa-w
Icons_NuWa_A03,nuwa-e
Icons_NuWa_A04,nuwa-r
Icons_NuWa_Passive,nuwa-p
Icons_Odin_BirdsofPrey,odin-birdsofprey
Icons_Odin_BirdsofWsidom,odin-birdsofwisdom
Icons_Odin_BirdsofWsidom2,odin-birdsofwisdom-2
Icons_Odin_GugnirsMight,odin-e
Icons_Odin_Lunge,odin-q
Icons_Odin_Passive,odin-p
Icons_Odin_RingofSpears,odin-r
Icons_Odin_Shout,odin-w
Icons_Osiris_A01,osiris-q
Icons_Osiris_A02,osiris-w
Icons_Osiris_A03,osiris-e
Icons_Osiris_A04,osiris-r
Icons_Osiris_Passive,osiris-p
Icons_Poseidon_A01,poseidon-q
Icons_Poseidon_A02,poseidon-w
Icons_Poseidon_A03,poseidon-e
Icons_Poseidon_A04,poseidon-r
Icons_Poseidon_Passive,poseidon-p
Icons_QiLin_Passive,qilin-p
Icons_Ra_CelestialBeam,ra-q
Icons_Ra_DivineLight,ra-w
Icons_Ra_Passive,ra-p
Icons_Ra_SearingPain,ra-r
Icons_Ra_SolarBlessing,ra-e
Icons_Rakshasa_Passive,rakshasa-p
Icons_Ram_A01,ram-q
Icons_Ram_A02,ram-w
Icons_Ram_A03,ram-e
Icons_Ram_A04,ram-r
Icons_Ram_Passive,ram-p
Icons_Scylla_A01,scylla-q
Icons_Scylla_A02,scylla-w
Icons_Scylla_A03,scylla-e
Icons_Scylla_A04,scylla-r
Icons_Scylla_Passive,scylla-p
Icons_Serqet_A01,serqet-q
Icons_Serqet_A02,serqet-w
Icons_Serqet_A03,serqet-e
Icons_Serqet_A04,serqet-r
Icons_Serqet_Passive,serqet-p
Icons_Set_Passive,set-p
Icons_Shiva_Passive,shiva-p
Icons_Sobek_ChargePrey,sobek-q
Icons_Sobek_LurkingWaters,sobek-r
Icons_Sobek_Passive,sobek-p
Icons_Sobek_SickeningStrike,sobek-e
Icons_Sobek_TailWhip,sobek-w
Icons_SumWukong_01,sunwukong-q
Icons_SumWukong_02,sunwukong-w
Icons_SumWukong_03,sunwukong-e
Icons_SumWukong_04,sunwukong-r
Icons_SumWukong_FuriousMonkey,sunwukong-e-old
Icons_SumWukong_OverhandSmash,sunwukong-w-old
Icons_SumWuKong_Passive,sunwukong-p
Icons_SumWukong_Somersault,sunwukong-q-old
Icons_SumWukong_YearoftheMonkey,sunwukong-r-old
Icons_SunWukong_Passive,sunwukong-p-old
Icons_Thanatos_A01,thanatos-q
Icons_Thanatos_A02,thanatos-w
Icons_Thanatos_A03,thanatos-e
Icons_Thanatos_A04,thanatos-r
Icons_Thanatos_Passive,thanatos-p
Icons_Thor_A01,thor-q
Icons_Thor_A02,thor-w
Icons_Thor_A03,thor-e
Icons_Thor_A04,thor-r
Icons_Thor_Passive,thor-p
Icons_Tyr_A01,tyr-q-1
Icons_Tyr_A01_Stance2,tyr-q-2
Icons_Tyr_A02,tyr-w-1
Icons_Tyr_A02_Stance2,tyr-w-2
Icons_Tyr_A03,tyr-e-1
Icons_Tyr_A03_Stance2,tyr-e-2
Icons_Tyr_A04,tyr-r-1
Icons_Tyr_A04_Stance2,tyr-r-2
Icons_Tyr_Passive,tyr-p-1
Icons_Tyr_Passive_Stance2,tyr-p-2
Icons_Ullr_A01,ullr-q-1
Icons_Ullr_A01_Stance2,ullr-q-2
Icons_Ullr_A02,ullr-w-1
Icons_Ullr_A02_Stance2,ullr-w-2
Icons_Ullr_A03,ullr-e-1
Icons_Ullr_A03_Stance2,ullr-e-2
Icons_Ullr_A04,ullr-r-1
Icons_Ullr_A04_Stance2,ullr-r-2
Icons_Ullr_Passive,ullr-p-1
Icons_Ullr_Passive_Stance2,ullr-p-2
Icons_Vamana_BigBaby,vamana-r
Icons_Vamana_GhostUmbrella,vamana-w
Icons_Vamana_Passive,vamana-p
Icons_Vamana_RainingMen,vamana-q
Icons_Vamana_UmbrellaStrike,vamana-e
Icons_Vulcan_A01,vulcan-q
Icons_Vulcan_A01b,vulcan-qb
Icons_Vulcan_A02,vulcan-w
Icons_Vulcan_A03,vulcan-e
Icons_Vulcan_A03b,vulcan-eb
Icons_Vulcan_A04,vulcan-r
Icons_Vulcan_A04b,vulcan-rb
Icons_Vulcan_Passive,vulcan-p
Icons_Xbalanque_A01,xbalanque-q
Icons_Xbalanque_A02,xbalanque-w
Icons_Xbalanque_A03,xbalanque-e
Icons_Xbalanque_A04,xbalanque-r
Icons_Xbalanque_Passive,xbalanque-p
Icons_YenLoWang_Passive,yenlowang-p
Icons_Ymir_FrostBreath,ymir-e
Icons_Ymir_GlacialStrike,ymir-w
Icons_Ymir_IceWall,ymir-q
Icons_Ymir_Passive,ymir-p
Icons_Ymir_ShardsofIce,ymir-r
Icons_Zeus_AegisShield,zeus-w
Icons_Zeus_ChainLightning,zeus-q
Icons_Zeus_DetonateCharge,zeus-e
Icons_Zeus_LightningStorm,zeus-r
Icons_Zeus_Passive,zeus-p
Icons_ZhongKui_A01,zhongkui-q
Icons_ZhongKui_A02,zhongkui-w
Icons_ZhongKui_A03,zhongkui-e
Icons_ZhongKui_A04,zhongkui-r
Icons_ZhongKui_Passive,zhongkui-p
NuWa_Buff_A01,nuwa-q-alt
NuWa_Buff_A02,nuwa-w-alt
NuWa_Buff_A03,nuwa-e-alt
NuWa_Buff_A04,nuwa-r-alt
NuWa_Buff_Passive,nuwa-p-alt
