btn-armor-general-blank,general-blank
btn-ability-terran-chronoriftdevice,terran-chronoriftdevice
btn-ability-terran-cloak,terran-cloak
btn-ability-terran-cloak-color,terran-cloak-color
btn-ability-terran-d8charge,terran-d8charge
btn-ability-terran-deactivatemine,terran-deactivatemine
btn-ability-terran-decloak,terran-decloak
btn-ability-terran-decloak-color,terran-decloak-color
btn-ability-terran-defensivematrix,terran-defensivematrix
btn-ability-terran-electricfield,terran-electricfield
btn-ability-terran-emergencythrusters,terran-emergencythrusters
btn-ability-terran-emp,terran-emp
btn-ability-terran-emp-color,terran-emp-color
btn-ability-terran-experiencedplasmagun,terran-experiencedplasmagun
btn-ability-terran-gather,terran-gather
btn-ability-terran-haleoflead,terran-haleoflead
btn-ability-terran-haywiremissile,terran-haywiremissile
btn-ability-terran-heal,terran-heal
btn-ability-terran-heal-color,terran-heal-color
btn-ability-terran-holdfire,terran-holdfire
btn-ability-terran-huntermissile,terran-huntermissile
btn-ability-terran-huntermissile-color,terran-huntermissile-color
btn-ability-terran-hurricane,terran-hurricane
btn-ability-terran-ignorearmor,terran-ignorearmor
btn-ability-terran-jetpack,terran-jetpack
btn-ability-terran-jetpack-color,terran-jetpack-color
btn-ability-terran-land,terran-land
btn-ability-terran-liftoff,terran-liftoff
btn-ability-terran-load,terran-load
btn-ability-terran-microfiltering,terran-microfiltering
btn-ability-terran-nuclearstrike,terran-nuclearstrike
btn-ability-terran-nuclearstrike-color,terran-nuclearstrike-color
btn-ability-terran-penetratorround,terran-penetratorround
btn-ability-terran-perditionturret,terran-perditionturret
btn-ability-terran-pointdefenselaser,terran-pointdefenselaser
btn-ability-terran-punishergrenade,terran-punishergrenade
btn-ability-terran-punishergrenade-color,terran-punishergrenade-color
btn-ability-terran-redlinereactor,terran-redlinereactor
btn-ability-terran-repair,terran-repair
btn-ability-terran-salvage,terran-salvage
btn-ability-terran-scannersweep,terran-scannersweep
btn-ability-terran-scannersweep-color,terran-scannersweep-color
btn-ability-terran-setrallypoint,terran-setrallypoint
btn-ability-terran-slow,terran-slow
btn-ability-terran-snipe,terran-snipe
btn-ability-terran-snipe-color,terran-snipe-color
btn-ability-terran-stimpack,terran-stimpack
btn-ability-terran-stimpack-color,terran-stimpack-color
btn-ability-terran-unloadall,terran-unloadall
btn-ability-terran-unstablepayload,terran-unstablepayload
btn-ability-terran-warpjump,terran-warpjump
btn-ability-terran-weaponsfree,terran-weaponsfree
btn-ability-terran-yamatogun,terran-yamatogun
btn-ability-terran-yamatogun-color,terran-yamatogun-color
btn-ability-zerg-abduct,zerg-abduct
btn-ability-zerg-advancedmutation,zerg-advancedmutation
btn-ability-zerg-armoraura,zerg-armoraura
btn-ability-zerg-attackstructure,zerg-attackstructure
btn-ability-zerg-attackstructure-color,zerg-attackstructure-color
btn-ability-zerg-banelingspooge,zerg-banelingspooge
btn-ability-zerg-basicmutation,zerg-basicmutation
btn-ability-zerg-blindingcloud,zerg-blindingcloud
btn-armor-zerg-building,zerg-building
btn-ability-zerg-burrow,zerg-burrow
btn-ability-zerg-burrow-color,zerg-burrow-color
btn-ability-zerg-carrybiomass,zerg-carrybiomass
btn-ability-zerg-cliffjump-baneling,zerg-cliffjump-baneling
btn-ability-zerg-cliffjump-zergling,zerg-cliffjump-zergling
btn-ability-zerg-consume,zerg-consume
btn-ability-zerg-contaminaite,zerg-contaminaite
btn-ability-zerg-contaminate-color,zerg-contaminate-color
btn-ability-zerg-corrosiveblast,zerg-corrosiveblast
btn-ability-zerg-corruption,zerg-corruption
btn-ability-zerg-corruption-color,zerg-corruption-color
btn-ability-zerg-corruption_multi,zerg-corruption-multi-2
btn-ability-zerg-corruption-multi,zerg-corruption-multi
btn-ability-zerg-creepmove,zerg-creepmove
btn-ability-zerg-creepspread,zerg-creepspread
btn-ability-zerg-debilitatingbile,zerg-debilitatingbile
btn-ability-zerg-deeptunnel,zerg-deeptunnel
btn-ability-zerg-dehakacliffjump,zerg-dehakacliffjump
btn-ability-zerg-dehakaspawn,zerg-dehakaspawn
btn-ability-zerg-disguise,zerg-disguise
btn-ability-zerg-drag,zerg-drag
btn-ability-zerg-explode,zerg-explode
btn-ability-zerg-explode-color,zerg-explode-color
btn-ability-zerg-frenzied,zerg-frenzied
btn-ability-zerg-frenzied-color,zerg-frenzied-color
btn-ability-zerg-frenzy,zerg-frenzy
btn-ability-zerg-fungalgrowth,zerg-fungalgrowth
btn-ability-zerg-fungalgrowth-color,zerg-fungalgrowth-color
btn-ability-zerg-gather,zerg-gather
btn-ability-zerg-generatecreep,zerg-generatecreep
btn-ability-zerg-generatecreep-color,zerg-generatecreep-color
btn-ability-zerg-generatecreepstop,zerg-generatecreepstop
btn-ability-zerg-generatecreepstop-color,zerg-generatecreepstop-color
btn-ability-zerg-growth,zerg-growth
btn-ability-zerg-harvestcorpse,zerg-harvestcorpse
btn-ability-zerg-infestationsource,zerg-infestationsource
btn-ability-zerg-leech,zerg-leech
btn-ability-zerg-neuralparasite,zerg-neuralparasite
btn-ability-zerg-neuralparasite-color,zerg-neuralparasite-color
btn-ability-zerg-noxiouscloud,zerg-noxiouscloud
btn-ability-zerg-parasiticinvasion,zerg-parasiticinvasion
btn-ability-zerg-plague,zerg-plague
btn-ability-zerg-poisonnova,zerg-poisonnova
btn-ability-zerg-rapidregeneration,zerg-rapidregeneration
btn-ability-zerg-rapidregeneration-color,zerg-rapidregeneration-color
btn-ability-zerg-regenaura,zerg-regenaura
btn-ability-zerg-root,zerg-root
btn-ability-zerg-root-color,zerg-root-color
btn-ability-zerg-setworkerrallypoint,zerg-setworkerrallypoint
btn-ability-zerg-siphon,zerg-siphon
btn-ability-zerg-sporecloud,zerg-sporecloud
btn-ability-zerg-swamseeds,zerg-swamseeds
btn-ability-zerg-swarmhost_root,zerg-swarmhost-root
btn-ability-zerg-swarmhost_unroot,zerg-swarmhost-unroot
btn-ability-zerg-swarmseeds,zerg-swarmseeds
btn-ability-zerg-swarmseeds-color,zerg-swarmseeds-color
btn-ability-zerg-towering,zerg-towering
btn-ability-zerg-transfusion,zerg-transfusion
btn-ability-zerg-transfusion-color,zerg-transfusion-color
btn-ability-zerg-ultralisk-revive,zerg-ultralisk-revive
btn-ability-zerg-unburrow,zerg-unburrow
btn-ability-zerg-upburrow-color,zerg-upburrow-color
btn-ability-zerg-uproot,zerg-uproot
btn-ability-zerg-uproot-color,zerg-uproot-color
btn-ability-zerg-viper-ocularparasite,zerg-viper-ocularparasite
